#      time         order        eflooravg 
  4679.000000       1.0000       0.0000    
  4679.400000       1.0000       0.0000    
  4679.800000       1.0000       0.0000    
  4680.000000       1.0000       0.0000    
  4680.000000       1.0000       0.0000    
  4680.002746       1.0000       0.0000    
  4680.005491       1.0000       0.0000    
  4680.007168       1.0000       0.0000    
  4680.007168       1.0000       0.0000    
  4680.009364       1.0000       0.0000    
  4680.011560       1.0000       0.0000    
  4680.015953       1.0000       0.0000    
  4680.024739       1.0000       0.0000    
  4680.042311       1.0000       0.0000    
  4680.077454       1.0000       0.0000    
  4680.147740       1.0000       0.0000    
  4680.288312       1.0000       0.0000    
  4680.569457       1.0000       0.0000    
  4680.676971       1.0000       0.0000    
  4680.676971       1.0000       0.0000    
  4680.726028       1.0000       0.0000    
  4680.775084       1.0000       0.0000    
  4680.873198       1.0000       0.0000    
  4681.000000       1.0000       0.0000    
  4681.000000       1.0000       0.0000    
  4681.078491       1.0000       0.0000    
  4681.156982       1.0000       0.0000    
  4681.313963       1.0000       0.0000    
  4681.627927       1.0000       0.0000    
  4682.000000       1.0000       0.0000    
  4682.000000       1.0000       0.0000    
  4682.251171       1.0000       0.0000    
  4682.502341       1.0000       0.0000    
  4683.000000       1.0000       0.0000    
  4683.000000       1.0000       0.0000    
  4683.200936       1.0000       0.0000    
  4683.401873       1.0000       0.0000    
  4683.803746       1.0000       28.968    
  4684.000000       1.0000       42.620    
  4684.000000       1.0000       42.620    
  4684.006430       1.0000       43.095    
  4684.012860       1.0000       43.572    
  4684.023253       1.0000       44.346    
  4684.035152       1.0000       45.237    
  4684.052744       1.0000       46.562    
  4684.076747       1.0000       48.387    
  4684.097601       1.0000       49.986    
  4684.120210       1.0000       51.735    
  4684.139000       1.0000       53.199    
  4684.157579       1.0000       54.656    
  4684.174684       1.0000       56.005    
  4684.191659       1.0000       57.350    
  4684.208147       1.0000       58.664    
  4684.224654       1.0000       59.985    
  4684.241752       1.0000       61.359    
  4684.260203       1.0000       62.849    
  4684.280277       1.0000       64.477    
  4684.302422       1.0000       66.282    
  4684.327206       1.0000       68.311    
  4684.355250       1.0000       70.621    
  4684.387527       1.0000       73.293    
  4684.425324       1.0000       76.440    
  4684.470682       1.0000       80.240    
  4684.526668       1.0000       84.961    
  4684.598608       1.0000       91.069    
  4684.598608       1.0000       91.069    
  4684.606922       1.0000       91.777    
  4684.615236       1.0000       92.486    
  4684.631864       1.0000       93.905    
  4684.665121       1.0000       96.749    
  4684.731633       1.0000       102.45    
  4684.864659       1.0000       113.92    
  4685.000000       1.0000       125.64    
  4685.000000       1.0000       125.64    
  4685.106421       1.0000       134.89    
  4685.212841       1.0000       144.13    
