#      time         order        room_phae1   room_phaer
  4679.000000       1.0000      1.00000E-03   45.000    
  4679.400000       1.0000      1.00000E-03   45.000    
  4679.800000       1.0000      1.00000E-03   45.000    
  4680.000000       1.0000      1.00000E-03   45.000    
  4680.000000       1.0000      1.00000E-03   45.000    
  4680.002746       1.0000      1.00000E-03   45.000    
  4680.005491       1.0000      1.00000E-03   45.000    
  4680.007168       1.0000      1.00000E-03   45.000    
  4680.007168       1.0000      1.00000E-03   45.000    
  4680.009364       1.0000      1.00000E-03   45.000    
  4680.011560       1.0000      1.00000E-03   45.000    
  4680.015953       1.0000      1.00000E-03   45.000    
  4680.024739       1.0000      1.00000E-03   45.000    
  4680.042311       1.0000      1.00000E-03   45.000    
  4680.077454       1.0000      1.00000E-03   45.000    
  4680.147740       1.0000      1.00000E-03   45.000    
  4680.288312       1.0000      1.00000E-03   45.000    
  4680.569457       1.0000      1.00000E-03   45.000    
  4680.676913       1.0000      1.00000E-03   45.000    
  4680.676913       1.0000      1.00000E-03   45.000    
  4680.725999       1.0000      1.00000E-03   45.000    
  4680.775084       1.0000      1.00000E-03   45.000    
  4680.873255       1.0000      1.00000E-03   45.000    
  4681.000000       1.0000      1.00000E-03   45.000    
  4681.000000       1.0000      1.00000E-03   45.000    
  4681.078537       1.0000      1.00000E-03   45.000    
  4681.157073       1.0000      1.00000E-03   45.000    
  4681.314147       1.0000      1.00000E-03   45.000    
  4681.628294       1.0000      1.00000E-03   45.000    
  4682.000000       1.0000      1.00000E-03   45.000    
  4682.000000       1.0000      1.00000E-03   45.000    
  4682.251318       1.0000      1.00000E-03   45.000    
  4682.502635       1.0000      1.00000E-03   45.000    
  4683.000000       1.0000      1.00000E-03   45.000    
  4683.000000       1.0000      1.00000E-03   45.000    
  4683.201054       1.0000      1.00000E-03   45.000    
  4683.402108       1.0000      1.00000E-03   45.000    
  4683.804216       1.0000      1.00000E-03   45.000    
  4684.000000       1.0000      1.00000E-03   45.000    
  4684.000000       1.0000      1.00000E-03   45.000    
  4684.006434       1.0000      1.00000E-03   45.000    
  4684.012867       1.0000      1.00000E-03   45.000    
  4684.023281       1.0000      1.00000E-03   45.000    
  4684.035208       1.0000      0.99900       45.000    
  4684.052861       1.0000      0.99900       45.000    
  4684.076880       1.0000      0.99900       45.000    
  4684.097778       1.0000      0.99900       45.000    
  4684.120423       1.0000      0.99900       45.000    
  4684.139275       1.0000      0.99900       45.000    
  4684.157926       1.0000      0.99900       45.000    
  4684.175122       1.0000      0.99900       45.000    
  4684.192204       1.0000      0.99900       45.000    
  4684.208820       1.0000      0.99900       45.000    
  4684.225480       1.0000      0.99900       45.000    
  4684.242636       1.0000      0.99900       45.000    
  4684.261189       1.0000      0.99900       45.000    
  4684.281348       1.0000      0.99900       45.000    
  4684.303612       1.0000      0.99900       45.000    
  4684.328532       1.0000      0.99900       45.000    
  4684.356756       1.0000      0.99900       45.000    
  4684.389260       1.0000      0.99900       45.000    
  4684.427364       1.0000      0.99900       45.000    
  4684.473144       1.0000      0.99900       45.000    
  4684.529743       1.0000      0.99900       45.000    
  4684.602625       1.0000      0.99900       45.000    
  4684.602625       1.0000      0.99900       45.000    
  4684.610956       1.0000      0.99900       45.000    
  4684.619287       1.0000      0.99900       45.000    
  4684.635950       1.0000      0.99900       45.000    
  4684.669274       1.0000      0.99900       45.000    
  4684.735923       1.0000      0.99900       45.000    
  4684.869222       1.0000      0.99900       45.000    
  4685.000000       1.0000      0.99900       45.000    
  4685.000000       1.0000      0.99900       45.000    
  4685.106639       1.0000      0.99900       45.000    
  4685.213277       1.0000      0.99900       45.000    
  4685.426554       1.0000      0.99900       45.000    
  4685.756748       1.0000      0.99900       45.000    
  4686.000000       1.0000      0.99900       45.000    
  4686.000000       1.0000      0.99900       45.000    
  4686.034124       1.0000      0.99900       45.000    
  4686.068249       1.0000      0.99900       45.000    
  4686.077952       1.0000      0.99900       45.000    
  4686.097358       1.0000      0.99900       45.000    
  4686.136170       1.0000      0.99900       45.000    
  4686.181830       1.0000      0.99900       45.000    
  4686.196032       1.0000      0.99900       45.000    
  4686.224435       1.0000      0.99900       45.000    
  4686.235797       1.0000      0.99900       45.000    
  4686.258519       1.0000      0.99900       45.000    
  4686.303965       1.0000      0.99900       45.000    
  4686.322143       1.0000      0.99900       45.000    
